数据唯一ID,用户ID,记录分组ID,上传时间,数据时间,心率(beats/min),心率单位,心率.测量开始时间,心率.测量结束时间,心率.测量时间,心率.统计描述,心率.身体活动状态,心率.睡眠状态,心率.用户备注,外部ID,元数据版本
1a558a6316ea42858cefdf0b5433c132,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,111,beats/min,,,2025-04-06 08:45:29, , , , ,1,1
c21197b86b4a4973bc7e7eadec56f3eb,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,116,beats/min,,,2025-04-06 08:45:04, , , , ,1,1
0106b331ac0242a08dce581a3604c432,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,116,beats/min,,,2025-04-06 08:45:14, , , , ,1,1
195404b09a874f53b41e75c65fdd66ec,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,117,beats/min,,,2025-04-06 08:45:09, , , , ,1,1
4ca57d23d52b4733b9928992537454a0,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,113,beats/min,,,2025-04-06 08:45:19, , , , ,1,1
5f88dbdf29c4468ea2a0ac7a05b3170c,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,113,beats/min,,,2025-04-06 08:44:39, , , , ,1,1
a51826743369456aa8270266216d1d48,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,118,beats/min,,,2025-04-06 08:44:49, , , , ,1,1
79bcb58587ce4c058e39b3c0c79e1799,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,115,beats/min,,,2025-04-06 08:44:59, , , , ,1,1
827450d2071548a2b434d6e9c8cd12e8,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,116,beats/min,,,2025-04-06 08:44:44, , , , ,1,1
6b1422d60b83438fa6c1604060ee4b6f,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,117,beats/min,,,2025-04-06 08:44:29, , , , ,1,1
2fff24864dad43cc8180727d781209a0,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,117,beats/min,,,2025-04-06 08:44:54, , , , ,1,1
668fa211015144fd8614ef2d08bb0aa9,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,113,beats/min,,,2025-04-06 08:44:34, , , , ,1,1
81757148c8cf49d9add021894a387777,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,116,beats/min,,,2025-04-06 08:44:24, , , , ,1,1
8b984931541645068f3c0c8490c3b3f7,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,114,beats/min,,,2025-04-06 08:44:04, , , , ,1,1
e2b11e69a4cd4f3e875d7499784dd369,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,115,beats/min,,,2025-04-06 08:44:19, , , , ,1,1
fa3433c7566f414d9b4ce14054843266,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,116,beats/min,,,2025-04-06 08:44:09, , , , ,1,1
1f53a3cf8a2441acb1c69ab106119ccb,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,117,beats/min,,,2025-04-06 08:43:59, , , , ,1,1
4b5bcfe911fe4f23b905b4f1fe8f3289,ff204ebb74b94e37bb0debe1fcf2807d,b26d286375984ac888667a340d204c0e,2025-04-06 08:47:21,2025-04-06 08:43:28,116,beats/min,,,2025-04-06 08:44:14, , , , ,1,1
